"";"nombre";"region";"provincia";"comuna";"cut_r";"cut_p";"cut";"hogares";"hectareas";"area";"observaciones";"año"
"38";"Vista Al Mar";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;52;3,23623001;22693,661612735;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"39";"Simón Bolívar";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;31;1,28401456;9003,1189567;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"40";"Viena 15";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;30;2,2634957;15869,35591738;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"41";"Campanillas";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;98;6,18896126;43392,43661794;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"42";"La Frontera";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;12;0,61760806;4330,42551978;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"43";"Tiro Al Blanco";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;18;2,28158597;15993,74268886;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"44";"Nueva Esperanza 2";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;17;0,62774056;4400,14505085;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"45";"Gran Futuro";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;25;3,0600717;21448,378781935;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"46";"Los Eucaliptus";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;16;0,56314689;3946,64775801;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"47";"Hernan Mery";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;42;3,03422381;21262,175951445;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"48";"La Isla";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;116;4,51166884;31610,594389705;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"49";"Sin Nombre 17 - El Pimentón";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;11;0,13947953;977,88830439;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"50";"Pasaje Lorena";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;34;5,64498801;39573,748387635;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"51";"Las Alondras";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;27;0,97597326;6842,232285225;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"52";"Área Verde";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;33;1,43328113;10048,78359947;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"53";"Nueva Aurora";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;91;7,46810697;52362,134715125;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"54";"La Cantera";"Valparaíso";"Petorca";"Cabildo";"05";"054";5402;21;2,08245541;14792,189058515;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"55";"Bajo Gustavo Lorca";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;17;1,43326372;10050,64059322;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"56";"Las Chilcas";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;22;5,21050042;36537,521866;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"57";"El Bosque, Loncura";"Valparaíso";"Valparaíso";"Puchuncaví";"05";"051";5105;14;0,70564755;4980,598539345;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
