OBJECTID_12,OBJECTID,OBJECTID_1,FOLIO,NOMBRE,REGION,CUT_R,PROVINCIA,CUT_P,CUT,COMUNA,AN_CAT,N_HOG,FUENTE,OBS,HECTAREAS,Shape_Leng,Shape_Length,Shape_Area
1229,1229,779,110116,Esperanza II - Villa Navidad,Tarapacá,01,Iquique,011,1101,Iquique, ,0,TECHO,NUEVO CAMPAMENTO NO PRIORIZADO A VALIDAR,0.4232715,262.38689229,0.00227418520278046,3.2053960064845e-07
1230,1230,1169,210180,Altamira,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2022,85,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,2.67012061,937.151067,0.00795496590318985,1.97367420108007e-06
1231,1231,1170,210184,Niños Felices 2,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2022,11,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.41728013,394.9492949,0.00336384253446731,3.08483111731707e-07
1232,1232,1171,210185,Flor De La Perla,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2022,51,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,4.16581074,817.73966158,0.00706031014373638,3.08228666334522e-06
1233,1233,781,140107,13 De Junio,Tarapacá,01,Tamarugal,014,1401,Pozo Almonte, ,0,TECHO,NUEVO CAMPAMENTO NO PRIORIZADO A VALIDAR,0.22438812,207.75983178,0.00182919544072856,1.69867762563666e-07
1234,1234,1172,210187,Quebrada Baquedano,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2022,17,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.74722645,373.73487533,0.00321964941528022,5.52314296748099e-07
1235,1235,782,110732,Naciones Unidas,Tarapacá,01,Iquique,011,1107,Alto Hospicio,CATASTRO_2011,12,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.247478,213.55485709,0.00187400376254947,1.87316401111504e-07
1236,1236,1173,210189,Francis II,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2022,13,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.14842012,168.74448155,0.00145519904889254,1.09747532350759e-07
1237,1237,783,110703,Ex Vertedero Norte,Tarapacá,01,Iquique,011,1107,Alto Hospicio,CATASTRO_2011,394,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,7.92433666,1507.71443507,0.0132689132679151,5.99808392405593e-06
1238,1238,1174,210302,Baquedano 1,Antofagasta,02,Antofagasta,021,2103,Sierra Gorda,CATASTRO_2022,34,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.54751074,813.60674783,0.00704333891090896,1.88764382916756e-06
1239,1239,784,140101,Villa La Pampa,Tarapacá,01,Tamarugal,014,1401,Pozo Almonte,CATASTRO_2019,39,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,3.75528939,801.03753239,0.00696108793093057,2.84290611757206e-06
1240,1240,1175,230110,Tocopilla (Cuesta Barriles),Antofagasta,02,Tocopilla,023,2301,Tocopilla,CATASTRO_2022,51,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,2.78920991,780.78741258,0.00687070810614371,2.085684719899e-06
1241,1241,785,110701,Toma Protesta,Tarapacá,01,Iquique,011,1107,Alto Hospicio,CATASTRO_2019,107,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,1.46919964,530.50904613,0.00466306731873417,1.11198478809444e-06
1242,1242,1176,540501,Laguna Zapallar,Valparaíso,05,Petorca,054,5405,Zapallar,CATASTRO_2011,10,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.87305192,476.65980195,0.003786496850687,5.93336076990118e-07
